instance,paper_name,customer_count,class_name,bks_vehicles,bks_distance,bks_charging_time,bks_charging_count,source_ref,source_doi,source_year,source_in_vor_collection,compilation_ref,compilation_doi,source_table,optimal_proven,charging_model,objective_function,distance_metric,model_compatible,compatibility_notes
rc108C10,RC108-10,10,RC1,3,345.93,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc201C10,RC201-10,10,RC2,1,412.86,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc205C10,RC205-10,10,RC2,2,325.98,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c103C15,C103-15,15,C1,3,384.29,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c106C15,C106-15,15,C1,3,275.13,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,True,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c202C15,C202-15,15,C2,2,383.62,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c208C15,C208-15,15,C2,2,300.55,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r102C15,R102-15,15,R1,5,413.93,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r105C15,R105-15,15,R1,4,336.15,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r202C15,R202-15,15,R2,2,358.0,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r209C15,R209-15,15,R2,1,313.24,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc103C15,RC103-15,15,RC1,4,397.67,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc108C15,RC108-15,15,RC1,3,370.25,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc202C15,RC202-15,15,RC2,2,394.39,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
rc204C15,RC204-15,15,RC2,1,384.86,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,SSG,10.1287/trsc.2013.0490,Table 5 (VNS/TS),False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c101_21,c101,100,C1,12,1053.83,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c102_21,c102,100,C1,11,1051.38,unknown,unknown,GS,10.1016/j.ejor.2015.01.049,2015,False,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c103_21,c103,100,C1,10,1034.86,unknown,unknown,GS,10.1016/j.ejor.2015.01.049,2015,False,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c104_21,c104,100,C1,10,961.88,unknown,unknown,GS,10.1016/j.ejor.2015.01.049,2015,False,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c105_21,c105,100,C1,11,1075.37,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c106_21,c106,100,C1,11,1057.65,unknown,unknown,HPH,10.1016/j.ejor.2016.01.038,2016,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c107_21,c107,100,C1,11,1031.56,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c108_21,c108,100,C1,10,1095.66,unknown,unknown,GS,10.1016/j.ejor.2015.01.049,2015,False,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c109_21,c109,100,C1,10,1033.67,unknown,unknown,GS,10.1016/j.ejor.2015.01.049,2015,False,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c201_21,c201,100,C2,4,645.16,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c202_21,c202,100,C2,4,645.16,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c203_21,c203,100,C2,4,644.98,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c204_21,c204,100,C2,4,636.43,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c205_21,c205,100,C2,4,641.13,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c206_21,c206,100,C2,4,638.17,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c207_21,c207,100,C2,4,638.17,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
c208_21,c208,100,C2,4,638.17,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r101_21,r101,100,R1,18,1663.04,unknown,unknown,HPH,10.1016/j.ejor.2016.01.038,2016,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r102_21,r102,100,R1,16,1487.41,unknown,unknown,GS,10.1016/j.ejor.2015.01.049,2015,False,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r103_21,r103,100,R1,13,1271.35,unknown,unknown,GS,10.1016/j.ejor.2015.01.049,2015,False,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r104_21,r104,100,R1,11,1088.43,unknown,unknown,SSG,10.1287/trsc.2013.0490,2014,True,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
r105_21,r105,100,R1,14,1442.35,unknown,unknown,GS,10.1016/j.ejor.2015.01.049,2015,False,KC,10.1016/j.trc.2016.01.013,Table 2,False,full_recharge: t = (Q - b) * g,"lexicographic(vehicle_count, total_distance, total_charging_time, charging_count)",unrounded Euclidean (math.hypot),False,Objective mismatch: our 4-component lexicographic objective adds total_charging_time and charging_count not present in published objectives; HPH uses weighted sum rather than strict lexicographic; distance metric may differ due to rounding conventions. No gap computation permitted.
