gate,instance,seed,axis,finding,status
replay_consistency,c104C10,2016,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,c106C15,2014,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,c106C15,2014,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,c106C15,2014,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,c106C15,2014,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,c106C15,2015,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,c106C15,2015,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,c106C15,2015,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,c106C15,2015,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,c106C15,2016,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,c106C15,2016,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,c106C15,2016,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,c106C15,2016,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r101_21,2014,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r101_21,2014,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r101_21,2014,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r101_21,2014,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r101_21,2015,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r101_21,2015,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r101_21,2015,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r101_21,2015,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r101_21,2016,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r101_21,2016,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r101_21,2016,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r101_21,2016,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r103C10,2014,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r103C10,2014,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r103C10,2014,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r103C10,2014,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r103C10,2015,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r103C10,2015,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r103C10,2015,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r103C10,2015,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r103C10,2016,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r103C10,2016,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r103C10,2016,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r103C10,2016,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C15,2014,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C15,2014,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C15,2014,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C15,2014,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C15,2015,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C15,2015,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C15,2015,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C15,2015,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C15,2016,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C15,2016,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C15,2016,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C15,2016,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C5,2014,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C5,2014,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C5,2014,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C5,2014,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C5,2015,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C5,2015,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C5,2015,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C5,2015,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C5,2016,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C5,2016,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,r105C5,2016,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,r105C5,2016,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc101_21,2014,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc101_21,2014,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc101_21,2014,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc101_21,2014,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc101_21,2015,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc101_21,2015,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc101_21,2015,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc101_21,2015,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc101_21,2016,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc101_21,2016,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc101_21,2016,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc101_21,2016,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc102C10,2014,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc102C10,2014,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc102C10,2014,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc102C10,2014,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc102C10,2015,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc102C10,2015,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc102C10,2015,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc102C10,2015,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc102C10,2016,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc102C10,2016,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc102C10,2016,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc102C10,2016,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc103C15,2014,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc103C15,2014,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc103C15,2014,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc103C15,2014,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc103C15,2015,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc103C15,2015,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc103C15,2015,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc103C15,2015,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc103C15,2016,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc103C15,2016,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc103C15,2016,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc103C15,2016,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc105C5,2014,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc105C5,2014,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc105C5,2014,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc105C5,2014,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc105C5,2015,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc105C5,2015,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc105C5,2015,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc105C5,2015,fixed_fixed_work,routes valid and objective matches,pass
replay_consistency,rc105C5,2016,adaptive_wall_clock,routes valid and objective matches,pass
replay_consistency,rc105C5,2016,adaptive_fixed_work,routes valid and objective matches,pass
replay_consistency,rc105C5,2016,fixed_wall_clock,routes valid and objective matches,pass
replay_consistency,rc105C5,2016,fixed_fixed_work,routes valid and objective matches,pass
