axis,instance,reason,seed,status
serial_wall_clock,rc103C15,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,rc103C15,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,rc103C15,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,rc103C15,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,rc103C15,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,rc103C15,independent solution/objective/candidate/parallel replay,2016,pass
serial_fixed_exact_calls,rc105C5,independent solution/objective/candidate/parallel replay,2014,pass
parallel_fixed_exact_calls,rc105C5,independent solution/objective/candidate/parallel replay,2014,pass
serial_wall_clock,rc105C5,independent solution/objective/candidate/parallel replay,2014,pass
parallel_wall_clock,rc105C5,independent solution/objective/candidate/parallel replay,2014,pass
serial_fixed_exact_calls,rc105C5,independent solution/objective/candidate/parallel replay,2015,pass
parallel_fixed_exact_calls,rc105C5,independent solution/objective/candidate/parallel replay,2015,pass
serial_wall_clock,rc105C5,independent solution/objective/candidate/parallel replay,2015,pass
parallel_wall_clock,rc105C5,independent solution/objective/candidate/parallel replay,2015,pass
serial_fixed_exact_calls,rc105C5,independent solution/objective/candidate/parallel replay,2016,pass
parallel_fixed_exact_calls,rc105C5,independent solution/objective/candidate/parallel replay,2016,pass
serial_wall_clock,rc105C5,independent solution/objective/candidate/parallel replay,2016,pass
parallel_wall_clock,rc105C5,independent solution/objective/candidate/parallel replay,2016,pass
