instance,customer_count,class,source_paper,source_doi,source_year,charging_model,objective_function,distance_metric,bks_vehicles,bks_distance,bks_charging_time,bks_charging_count,model_compatible,compatibility_notes
r202C15,15,R2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,358.0,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r209C15,15,R2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,313.24,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc103C15,15,RC1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,397.67,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc108C15,15,RC1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,370.25,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc202C15,15,RC2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,394.39,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
rc204C15,15,RC2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,1,384.86,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c101_21,100,C1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,12,1053.83,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c102_21,100,C1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,11,1051.38,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c103_21,100,C1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,10,1034.86,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c104_21,100,C1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,10,961.88,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c105_21,100,C1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,11,1075.37,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c106_21,100,C1,"Hiermann, Puchinger, Ropke, Hartl (2016)",10.1016/j.ejor.2016.01.038,2016,full_recharge,"lexicographic(m,distance)",euclidean_solomon,11,1057.65,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c107_21,100,C1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,11,1031.56,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c108_21,100,C1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,10,1095.66,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c109_21,100,C1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,10,1033.67,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c201_21,100,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,645.16,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c202_21,100,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,645.16,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c203_21,100,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,644.98,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c204_21,100,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,636.43,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c205_21,100,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,641.13,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c206_21,100,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,638.17,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c207_21,100,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,638.17,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
c208_21,100,C2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,4,638.17,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r101_21,100,R1,"Hiermann, Puchinger, Ropke, Hartl (2016)",10.1016/j.ejor.2016.01.038,2016,full_recharge,"lexicographic(m,distance)",euclidean_solomon,18,1663.04,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r102_21,100,R1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,16,1487.41,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r103_21,100,R1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,13,1271.35,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r104_21,100,R1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,11,1088.43,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r105_21,100,R1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,14,1442.35,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r106_21,100,R1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,13,1324.1,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r107_21,100,R1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,12,1150.95,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r108_21,100,R1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,11,1050.04,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r109_21,100,R1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,12,1261.31,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r110_21,100,R1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,11,1119.5,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r111_21,100,R1,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,12,1106.19,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r112_21,100,R1,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,11,1016.63,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r201_21,100,R2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,1264.82,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r202_21,100,R2,"Schneider, Stenger, Goeke (2014)",10.1287/trsc.2013.0490,2014,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,1052.32,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r203_21,100,R2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,895.54,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r204_21,100,R2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,779.49,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r205_21,100,R2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,987.36,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r206_21,100,R2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,3,922.19,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r207_21,100,R2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,845.26,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
r208_21,100,R2,"Goeke, Schneider (2015)",10.1016/j.ejor.2015.01.049,2015,full_recharge,"lexicographic(m,distance)",euclidean_solomon,2,736.12,unknown,unknown,False,"Objective mismatch: our 4-component lexicographic objective (vehicle_count, total_distance, total_charging_time, charging_count) differs from published 2-component (SSG/GS) or weighted-sum (HPH). Distance metric may differ due to rounding. No gap computed."
